Method,Val R2_OOS,Test R2_OOS,Info
ElasticNet,0.42473425720518443,0.1582323223361095,"a=4.18e-02, l1=0.25"
Lasso,0.39822928205966035,0.15372340940368068,"a=1.27e-02, 16 feats"
Ridge,0.439929508822123,0.14908124416374147,a=7.02e+03
GradientBoosting,0.6663828130609557,0.13518252422854937,"{'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 1.0}"
PLS,0.23750521719100726,-0.2371148669296197,nc=3
OLS,0.047118941084739796,-0.29016487896875964,-
RBF+ElasticNet,0.29413874041401533,-0.3516125650130977,"g=0.001, nc=500"
RBF+Ridge,0.30139790371277875,-0.4402110823701051,"g=0.001, nc=500"
RBF+Lasso,0.2728821215450443,-1.2853842526020083,"g=0.001, nc=500"
